spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000485,2.748129898,0.192308472,13.86684036,193.4290976,272.2994736,61.00599228,2459000.5,63.88,S
2000491,3.189203943,0.087160155,18.86449859,175.4086135,232.766052,178.3536546,2459000.5,91.176,C
2000496,2.198797025,0.079645242,3.791198833,207.5914693,258.9005774,330.1473512,2459000.5,14.403,S
2000504,2.722605363,0.215072115,12.89823302,104.4755063,248.2442908,49.95027151,2459000.5,30.438,X
2000507,3.154810023,0.100668573,9.498372786,293.430191,100.5042073,75.83188358,2459000.5,45.17,X
2000509,3.063024811,0.09575689,15.40874689,217.5260477,157.4303703,147.6627148,2459000.5,51.892,S
2000511,3.164757233,0.188146517,15.93904425,107.5953487,337.3575872,44.08407529,2459000.5,270.327,C
2000512,2.189676224,0.254017189,8.747939439,107.0286483,249.1877137,335.3433909,2459000.5,23.09,S
2000516,2.680938167,0.27188701,12.95920011,328.8015537,258.1911111,340.3112814,2459000.5,65.144,X
2000519,2.790712047,0.182930943,11.01184241,44.71353108,302.5729054,39.65188531,2459000.5,40.078,S
2000523,2.965350283,0.178529042,4.313127486,260.6192909,189.9836969,300.9720141,2459000.5,31.89,X
2000532,2.774642776,0.175779807,16.31595089,107.5298655,76.50307391,69.38906965,2459000.5,167.791,S
2000533,2.979388287,0.044982389,6.555667139,180.3159967,32.76876724,201.495213,2459000.5,30.819,S
2000551,2.973817879,0.119719462,0.39573115,5.659764482,69.11632824,215.7208894,2459000.5,81.113,C
2000553,2.231661399,0.109320826,5.386851464,72.36316087,354.6174619,244.9752718,2459000.5,9.01,S
2000556,2.46385564,0.104049176,5.246560125,286.0407889,178.041728,297.1111049,2459000.5,36.279,S
2000571,2.40902308,0.243846424,5.22786688,3.176684282,27.51955388,214.2971372,2459000.5,11.696,S
2000572,2.401678295,0.15671296,10.57275423,194.496838,191.87803,284.0891993,2459000.5,28.903,C
2000597,2.672113415,0.145172188,12.79975517,36.52578087,307.1840015,293.8654679,2459000.5,36.06,S
2000598,2.761175815,0.250179202,12.22807861,91.52553732,292.1149237,104.2627746,2459000.5,78.237,X
2000600,2.65876181,0.055979129,10.20434198,139.2222484,113.0829224,107.2100613,2459000.5,25.115,S
2000601,3.135253685,0.103919823,16.14426466,169.5465305,160.1722922,153.666412,2459000.5,75.535,C
2000614,2.69661252,0.109131788,7.018146578,217.2286645,208.8891573,219.2345912,2459000.5,29.191,C
2000622,2.414217176,0.243322922,8.637950941,141.9098907,257.1246664,100.930804,2459000.5,21.874,S
2000627,2.901180947,0.058336581,6.473159851,142.4619588,177.2516521,157.9096269,2459000.5,38.018,X
2000629,3.140940205,0.156722811,9.246180634,86.49281397,37.16835168,178.2445075,2459000.5,35.087,X
2000631,2.794883453,0.082502148,18.89295021,224.6291409,279.1190231,151.9807972,2459000.5,50.491,S
2000633,3.019680753,0.083741087,10.90178494,147.2763302,190.1067857,116.167778,2459000.5,33.387,S
2000634,3.047986603,0.181306551,12.29360115,133.2020724,220.5912612,355.7929491,2459000.5,74.017,X
2000670,2.803599529,0.193541949,7.533248111,174.6498315,194.8996469,268.2842341,2459000.5,35.886,S
2000673,2.814191519,0.010553222,2.877372053,226.7091786,234.5515246,133.0044177,2459000.5,37.622,S
2000674,2.921607664,0.195264875,13.50948984,58.13259462,41.77979352,64.0139554,2459000.5,96.171,S
2000675,2.769385667,0.203873887,9.804322111,263.027143,152.7091493,38.02333497,2459000.5,76,S
2000678,2.573117107,0.219444117,6.094397039,281.1163955,121.234068,47.06602644,2459000.5,39.585,X
2000687,2.7206813,0.272684687,14.88013987,334.3395927,52.74842155,208.3114637,2459000.5,21.533,X
2000688,2.697521298,0.139308486,10.24447232,170.8366259,138.9689537,20.62117502,2459000.5,41.614,C
2000705,2.922146205,0.050257204,25.01889527,2.792087389,102.6721079,263.535663,2459000.5,132.261,C
2000712,2.5749787,0.186648217,12.76279994,230.8201308,181.4288841,193.1867015,2459000.5,124.125,X
2000713,3.397445067,0.155404676,10.34409501,217.4852849,138.1406254,352.9521741,2459000.5,97.968,C
2000715,2.768570365,0.083122845,13.81771839,46.07596851,301.034139,130.6946484,2459000.5,25.458,X
2000716,2.811955787,0.086696967,8.487220281,145.8854709,56.81084057,136.2077412,2459000.5,19.768,S
2000718,3.05767999,0.19884927,6.926489541,38.53232073,174.5477378,263.1501274,2459000.5,70.911,X
2000719,2.638602064,0.546558465,11.56748478,183.86695,156.1763377,140.2734218,2459000.5,0,S
2000723,2.992486222,0.054967754,4.990094691,163.1858921,250.4762019,333.3633421,2459000.5,23.456,C
2000737,2.590517386,0.245211474,12.36667475,184.6319525,134.1222749,356.1459423,2459000.5,47.804,S
2000739,2.737100181,0.143729038,20.66121533,136.5538113,45.19269815,221.7563544,2459000.5,104.517,X
2000741,2.719819252,0.070238912,8.413907018,100.7078956,61.77621642,317.1550875,2459000.5,29.64,X
2000747,3.000180775,0.339055216,18.21762093,129.1028619,277.4032252,322.5560524,2459000.5,171.71,C
2000749,2.243703761,0.172882106,5.394571694,109.7575059,128.9746298,289.1401915,2459000.5,11.065,S
2000759,2.618542037,0.205431031,19.90484672,318.3482615,0.924478546,79.52285471,2459000.5,52.926,X
2000771,2.654815309,0.246704376,14.88591096,217.9773889,228.1627615,226.7475233,2459000.5,29.322,X
2000779,2.663909574,0.227799421,14.58218411,283.7370685,49.12553685,301.4965913,2459000.5,80.572,X
2000783,2.342855656,0.229727879,9.341045711,142.086417,154.7004726,136.9447934,2459000.5,38.719,C
2000784,3.09563232,0.242329563,12.28367519,14.91747227,238.0127321,97.35388761,2459000.5,75.596,C
